signer,blockTime,sig,swapToToken,swapFromToken,swapToTokenAmount,swapFromTokenAmount
8pbSafJtAynmMUyn5nhyBNwg16nQ9KG8GC56ozeH1Ebf,1650298162,3whPBoVmJ5wK3dA4vVsf4Hs9e1bFqWwQyWGkcyJww1ti9xKW5TG6FUNqCjmFbm73As2Kz6P9sHqu7RBkeMsx1AW6,USDC,GST,0.181973,20.09999992
J1s3jjTEYQKZabWmidSChuKZQTCT2Q1j6WzcFDG44qYY,1650295789,2rtganHWg66ijjE8jm9EqdGopRP9JphFNDjabKsWZKTbTGA2NogHDECkFVXY3gh8KNaZZKL6HAgA7cX1wySr357N,GST,GMT,13.2233834,19.99999999
CGi49EWoHKtVcfoznSqQ6TVs7RtxahvNXRKSKSruSLxT,1650326913,jkFmHRHRiWQLC9FRHuMgWRUHtuZ89TzYcuABsZLeaBHuPWSz8B1r8LULjeZStgAKT5Lty9D4z2Q9wpD5koUeNcj,USDC,GST,8.799005,1.999999866
FtAe8PJG8MZtPRAPckr9e3B74ngX5ckQz5oD6AC7o5HB,1650295452,4Att9gZi9DFs8Tt159KDsTTEpqqgpSCYc4Puw2CbAJwHXVtUEF5N65Y1vJ3cceA6FoamdqzmNSbAjH8b3JytZnw1,UST,stSOL,202.621593,1.999999992
9b4Qt3zmodV3P7xs7NZaaVqRKaA5b7QjLGs4Ub5GCvDZ,1650327425,2DANU1zXxyD8JEK9GGuRRgUfQr2pxSoVaSgyso4rjFFhjKnoA6DJ6V3LERVgfhg5zGSjMM2ZCfM2xbLW4e64qL4U,USDC,GST,0.554964,125.0000001
CwyQtt6xGptR7PaxrrksgqBSRCZ3Zb2GjUYjKD9jH3tf,1650343877,3GPubigNAfbyvj2K7k2CNCPEQwsiVFSowtedUxcTFyLKwrh4PspUNUEXEUbDrmqh3ZCkik3HVxHeCBpATuiatrBs,SOL,USDC,14.62904379,1494.999753
HdGsWDaxSDBesEYXmAYsG7WZYkKxUv3qhGJgmXSXnm3d,1650341343,64zFgU7ojkZTFJcg14ZSTyK3QQ6TWeHUSZgBpeD1m5bjVxDUHTYuQ4dXpMHUzHru2x6h2c1wVrgTGmy9z71xSSrQ,BTC,mSOL,0.00969,3.735031139
FRNTRNETordzE2StXDiAXfUvAodYDi2inucS4rhw2vkm,1650301804,41ySsQCaYHR18RJ11iB5DmWYctF5BTK4XQFFxLb6sHAw1Gz5dapo4YybXYQsNYZR1ja59yKKQcc2CvqDxzGMyCwS,USDC,soFTT,0.054387,0
3PCRwFhHd8tNADpYrJNXndvzvFjgbCj4WiPiDi2yZftU,1650300171,4fUi7ShhsB5yj2uGTEbK5f9C9rsFiCRW4pXKaCFRHGu8igsaCRRqb3CizsUT7KBSVrNPC4HhSYrGrL2zKC2UEjvA,soETH,USDC,0.165495,483.847738
JAhxLNrS3rK1TFEmveDNgt4RruBkvGwqptD5iMSDkErw,1650300878,5z7zfPQy4NmXtYJ52CsB3dpfJ9rWqsRmd8KoLj4JhUYcM8wL2qWnPTZnzMdcuyFxo9oTVHZGEFKp3mrLbqJWARyU,USDC,GST,220.137932,49.99999995
HdTPokFRgCqEXRdhnL2ygSon7tr18PgjhoGnH5k8ZPNA,1650294744,2UaFyrQf5QNEEF2Pu8AeSzqrG4gnQfUUBTMGqeM3jeN6Md3N1ccxq42QqMukN9RJhX386sMRhizhwRNDz3wJw4wb,GST,USDC,17.66855275,76.154485
2BjL1mSd1mXPm9NsDCtBs719uYPSmDxQERSWTFQgizH3,1650343298,3DmAUpqw5H48pmqomFisMXPCUypPBCp7MiVa5iVBSbLqjJEowdcTNvDWqFkrwjdVbh1errnfbPjyL3A6d3nRNjb2,GMT,USDC,10.26253599,34
BP6eDjBvChVkEL2iXiwjXfemDJCUYttVWooYkK4cHcuV,1650340108,Wek5YCZWNnbFkxedNEoPnjfDWQJjDQ4FEPKTbrM4X3zvLEfc8LD3NFooyRzAj2fak5ADYeayPc1TvrzmwoCdmB9,GST,GMT,10.25164784,13.99999981
9FHEuPEaRWHzMg2JEwQZ7sL5zxTzYqT9ijE7Em1qtkJJ,1650341388,GzPywPH9ZFPXrM2jxmTzEfG1fp2DhhVut14tjbvNLBC9oXp7iYUvXxPUQVQHwouhPxtUAHK7bL3f8tSUPvjQqXV,USDC,GST,45.17927,9.99999997
B7anwSozCpqJULwVDhTxu9PZQLKi2jUTCUNo7uWd2biD,1650330923,22WWnU8Bh9NhWMhYzQ2atS1tjnP1SkbjHW1NWgtWfjjB7aftgzjm8AHbc7zwcP2sKP1sFudHsRqm8CYAYZbaiU9v,GMT,GST,28.09157343,21.99999983
GTR9u8zNWFLXer1RGBXwvo18FoUFNhWofXhKCyPN3sWR,1650342829,334dRZukr6Fe7YBevEDJvV529BCKe2fbjxieELzWjrzRcX86of1PsghAUCQ7vbR1K8T1fs6Rmu8dbguueE54Bn8c,GMT,GST,121.7568825,89.43000004
8CBfvfKaUmixDcbokx8FS8RDLZAub9sVU78rGTTh6v4w,1650333910,4uAkToawVZmhMdUnRRBJ38vPssZtuLVKW2o7simMMPUcZWz5mrE4XjDQSyfB6Hu1kvpnTy5CBfMcHBnFz2o95thm,USDC,GST,1956.495896,446.6
qDu2Z1FoghsuvhmkQA8m9j6fRpoQVKv3PbVa865fAgz,1650337253,Qu6V4A1VWfVNMtohcMUZgM1GWUszZudCDqotEitCbwbeD18T1hxnYT7PYhMYwf3rrKuwtSpfsBQBiDyzXPb6Hcp,GMT,GST,80.84604778,59.99999997
AaU4d24uEE1w6so9qoFYVra3WcbdMAT8fKMJjmnadGru,1650329706,5VYtDgoNTwcmL2a2DKcQyPbxmj2LKRnMmtTa2HucSMgooDEXCRSMo3ZhXJVnoKtpwzQbXXW1xKREYvhcJm8dMVXB,USDC,GST,43.935923,10.00000005
Am85FGyiDGXgp3AqDcMXR5BsmTgABnrV4uJke8ZByDSF,1650335083,m8hgQT54pE61UwSsHH7qUgG8gtVumf6BMf7ZDZ5NHfCMJwVWudxU41dwCnGRy8U2q1nsVHahfs6WsFXNQT3eU96,GMT,GST,201.0384551,149.9999999
46yXXYq5NiCWwdcTf6uAgtHgTJXjJQm3MCyP33CTsqqX,1650295256,241jnHktrHof5CraRMxKhPQz74q9kpJSxZdLTXEuHDxjwbZZZYGNm4msdQ7KcaFm1UksCQPF9h7rEbJ8biuXQzbV,GMT,GST,37.54092164,25.00000017
9qtA7oBKJyfZaWh6jKaCmm4GR3GK9bH9QWV9mEPSLKkE,1650326981,2aNw7MF3VKK3L7aXxuth594TA5gJXvPr3MEpKEAZtZ3mATGqnbxF5ooHK2N1Ceqhh1QNmSnK7skBJapp1agtCGiM,USDC,GST,0.342501,35.9999999
Eya3xEpMHwQPkWoSkBuh5iDGAbycUyWPe23cs7EfBUFW,1650332330,5sBc735sjACvWmHYNKYNRvP55nd1oDpE6CiRM1fmYv4oNYpoLVKYpAMfzUjbAwKx1H8FXcQfue1TgyfZhMCEy1xT,USDC,GST,215.588877,48.99999991
ECrkbHiTKUdFB6UGjAveHLsCQXtfoSU4p1TD6afdujku,1650300218,27KMXWD1hpPhKBJQSvF4zwvxYY6rpKWYTk4rFgNiYcMgqojfP26S8wiP5BG1uaznM8W992ZSrQJbJKLN3h3KN7aD,GST,USDC,1.574982228,7
3C292vNL2riWNeah12ghxHJtesu64qnRjLcVFR2GK3Nq,1650296837,porgew9FcVwwETiMkb1YGqc8kGj9gF4kUbMhyzSt3CA4xQtB8HmtgZY8TpqdciTJgQUmUd27b6D9QtuWvyYPrzQ,USDC,GST,56.126315,12.87
