chainId,address,symbol,name,decimals
101,GqWbZDQaeJsiscgtGpDrJsNCxxeuHqJCGKs4oWBY1aYQ,GTA,GTA LIVE,4
101,6H87YFkp5LHyN3KzDXa5r3QYce7WTcwYJi9SqwH3TXkQ,AINU,Akamaru Inu,1
101,BZopZtZHqUY7ApiYTLjztQSgBoAsqQsJU3kFqHW27qEK,NICK,Nick Token,9
101,6Vg88xUHUPU9MfddHpu2cgx6CdodReiU8eGLPJgyhyVZ,WLB,WHALEBE,9
101,9SLCSSkEYL9YbKtAvw39xNzMEV4a7oLisGXhSJt73UCu,KEVIN,Kevin Token,3
101,AeTzmX6QcL6tWKMRTKVW9ee8fPmCieKzgfmiU7ZaY4gu,SHIHT,Shih Tzu,9
101,AATiVPgFBTJejUJrmkwnwH8UTr69CtfodGVCwMvrCa2U,SOLM,Solmanians,8
101,ALMmmmbt5KNrPPUBFE4dAKUKSPWTop5s3kUGCdF69gmw,ALM,Almond,6
101,BSA5MfNRWc1CTJE1FD5ZErkNNLLWf9pqDyS3rCEYV1Re,UWT,Solana Underworld Token,0
101,DGeHh4eoxGau3iH7PfdTJdRhZu4FWNgDFF1Czd3tNemT,UMURPHY,Uncle Murphy Coin,9
101,ALKiRVrfLgzeAV2mCT7cJHKg3ZoPvsCRSV7VCRWnE8zQ,NEKI,Maneki-neko,9
101,D6yPmaM6SueQN4mteEQMiVFMbk6BSAShJAhuqyzVJ3fq,YARN,Yarn Coin,9
101,4BzxVoBQzwKoqm1dQc78r42Yby3EzAeZmMiYFdCjeu5Z,SWOLE,Swole Doge,9
101,C3Rjiq8o2yiRWsmdSUSN276u5ah3UTqyWbZudLMG41pt,PITXX,Pi Token v2,9
101,CC1gRBjsu8c7sf79wVd2Ub46X1UntPd81T7tmw7sTVYp,BNN,Banana,9
101,6oaVWSKRi4Pm1qVLf3fQFWFWygFhgswAL7Z466WE3cE8,IMUA,IMUA,9
101,9Sbzj4DnRW8qFnfvJWwXxQMRkWKAwHLs9NgDuBFjkVgW,PITDT,Picasso Token Div Test,9
101,CN7qFa5iYkHz99PTctvT4xXUHnxwjQ5MHxCuTJtPN5uS,BOKU,Boryoku Dragonz,9
101,H7Qc9APCWWGDVxGD5fJHmLTmdEgT9GFatAKFNg6sHh8A,OOGI,OOGI,9
101,GCxgQbbvJc4UyqGCsUAUa38npzZX27EMxZwckLuWeEkt,NUTS,NUTS,9
101,EFYKDdppK1FjixaxExpVhoTd8gtAmncbhQYruzWyG6Cx,SPKL,Spookeletons Token,9
101,31tCNEE6LiL9yW4Bu153Dq4vi2GuorXxCA9pW9aA6ecU,SPKL,Spookeletons Token,9
101,q4bpaRKw3fJB1AJBeeBaKv3TjYzWsmntLgnSB275YUb,TRTLS,Turtles Token,9
101,FRtCrYT6oHEM7tdcfJJkDRMhqRWb9EjnobJSA2T95Put,MMaps,Map Metrics,4
101,EFqYVEitSUpUTj2d9LSqun4eZ4BzouFuTPqQzU4hNtsS,MMaps,MapMetrics,6
101,3CaBxqxWsP5oqS84Pkja4wLxyZYsHzMivQbnfwFJQeL1,SOLFI,SOLFI,9
101,DdUm3gHS5nnB3XKnxEufnazb5ERa9vHjK6S3DgZi7QR5,BTSL,Bitsol Finance,9
101,8f9s1sUmzUbVZMoMh6bufMueYH1u4BJSM57RCEvuVmFp,TRUE,TrueSight,9
101,2Dzzc14S1D7cEFGJyMZMACuoQRHVUYFhVE74C5o8Fwau,BAB,Banana Bucks,0
101,GdRNeX9mbzCt4AnfiUFLbYZmxRuW7pGHfjbbAM59ZybR,SLFT,SOLife,9
101,AASdD9rAefJ4PP7iM89MYUsQEyCQwvBofhceZUGDh5HZ,SLX,Solex Finance,9
101,HppJbUYU4a9i3dXo1x1SS5ieaKEz4cAPWMg4eNQzabzg,BLOCKING,Blocking,8
101,4HjScxnKaowf2SJzEKUCaHLJUe4qUBX15jCop6FQ4Ht1,Z,Zeus,5
101,Aojru8bfwZK6sgrx6exNazxASFZUjPpRY59byMrs6izt,OINK,OINK,10
101,5sM9xxcBTM9rWza6nEgq2cShA87JjTBx1Cu82LjgmaEg,BMBO,Bamboo,7
101,5F3beSzHFv1m3T2Sqp7dNQPYrZeetLZ8JYe6QPW6cqKA,ZEUS,ZEUS,8
101,C8QMoDwQADoW4MVkDZx7HgnebeugnNXWztrqpcCT2mFj,SHARK,Rogue Shark 129,0
101,4oyPeSSUwfxExjBU76fTfAFHHrZ3HVwCHWqAUdpeFg6h,SHARK,Rogue Shark 129,0
101,9CuowWiTMFBeC5ntjdAeMv3W72vzwveCC9ATTjnjXjNx,KRCH,KrechetovNFT,0
101,EZF2sPJRe26e8iyXaCrmEefrGVBkqqNGv9UPGG9EnTQz,FUM,FUMoney,9
101,9XtRZwKzDXEJ61A7qCqbPz8jXMYHGT3LwxqrEzB6fqxv,SOLUM,Solum,9
101,31HcuZjFHCV8VcydRjXz9NFnte4RVRRuR5n9rECfy79W,BOOZ,boozcoin,9
101,7Y2FprWHsBYCFkTpWiQ123BMPgWWquraaZHy6oFofcvs,JDBEAR,JareBear,0
101,D3gRmoveMFa8e3ziw5XCwCByHKiSk76T4fi62GXNYXHi,JDBULL,JareBool,0
101,8z55xQupEQcjAQTJy3BwZJX24pmtCJDo8MEe9Ub7a3Yv,SHAK,Shakudo,9
101,7ypyxaQoHcJwoo9wXsc3tqL6PN4UQuEoyyfg5xjDX1Dj,MMY,Mummy,9
101,HavbxBPK1uY9kMNqKPkWDEQXWw6FYERrLxeMtWiXnwko,SXP,Stacc eXPerience Points,9
101,2A5esErqMaJXhrs1i6CtjbVxTbgsY9JbDedVsuVMQ6aY,SJP,Stacc Job Points,9
101,84vmWvKxebcnZL5JPnqkzPFVBaL4y5uGCRRJW2a9P4SL,cvs,coinvs,9
101,9KYMTqKY7f2cJKW2wYfNRpLb9zbB1tTyEbaTuzy4Gwwc,SGP,Stacc Gold Points,9
101,2uRFEWRBQLEKpLmF8mohFZGDcFQmrkQEEZmHQvMUBvY7,SLB,Solberg,9
101,HDLRMKW1FDz2q5Zg778CZx26UgrtnqpUDkNNJHhmVUFr,MILLI,MILLIONSY,9
101,7ic3cSqD6iiwsqxDyBbcs2qYfMcKY2HndLDrjhMKZ4cQ,$SOLY,Solana Yield,8
101,Dw3E5NJGyAZ5QmeB165cGf2gfc9ktyFu55wMyh3MaJov,TKC,Tugscom Coin,9
