name,account,token_mint_A,token_account_A,token_mint_B,token_account_B
OXY/SOL[aquafarm],Cq4EZrvuFQpsCz8L3gS6t7iQ7VWzTtqDgSxD4AgVAAfd,z3dn17yLaGMKffVogeFHQ9zWVcXgqgf3PQnDsNs2g6M,BoZQMfTLTPcXnevJxNFkECVbKesfhXnTUg4kxLgzV9BX,So11111111111111111111111111111111111111112,8ZrEcJbgg7BdoBga5RYDR8aMujLf5cAQp8zdPZqk7nNC
BTC/SOL[aquafarm],7N2AEJ98qBs4PwEwZ6k5pj8uZBKMkZrKZeiC7A64B47u,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,9G5TBPbEUg2iaFxJ29uVAT8ZzxY77esRshyHiLYZKRh8,So11111111111111111111111111111111111111112,5eqcnUasgU2NRrEAeWxvFVRTTYWJWfAJhsdffvc6nJc2
MER/SOL[aquafarm],UJBm2tHwDbQZpjQvaHozg5qkjh6prSKhnWheqR5T76Q,MERt85fc5boKw3BW1eYdxonEuJNvXbiMbs6hvheau5K,DHdkRWTa9SRJNMtWZQYvNNbjrDP3n92EWLHezjFGPipb,So11111111111111111111111111111111111111112,DC5RwjB3VkXdt2PoWKTA4Ub9KbtcY8xXpmPNKsFjALwq
FIDA/SOL[aquafarm],4SUBbivGMvMhem3ajVtkmuPvL4GuQ8kfYTJFuQfG4F8t,EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp,9ofyx5yFzjH1XWmJzfiGCDfhq6ho8yFbszGQrrJXe54,So11111111111111111111111111111111111111112,55moYcq91pXbSRpL2DR8P3BehqSNWiJrdTn5SZFc2STn
MAPS/SOL[aquafarm],4rkgbbCPKk5zx3KiwcCNiSpNSSLgAkswKGfX7CJjGgtC,MAPS41MDahZ9QdKXhVa4dWB9RuyfV4XqhyAZ8XcYepb,BqExNTYk7YdeiaREHqnqN2q1F3dBCTPhkwrrWBFD4F1m,So11111111111111111111111111111111111111112,HdEQ99E979aXn2xTcg5UXEfLynwFkqpPTxLaNkH7Nz7P
USDC/USDT[stable][aquafarm],F13xvvx45jVGd84ynK3c8T89UejQVxjCLtmHfPmAXAHP,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6uUn2okWk5v4x9Gc4n2LLGHtWoa9tmizHq1363dW7t9W,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,AiwmnLy7xPT28dqZpkRm6i1ZGwELUCzCsuN92v4JkSeU
ORCA/SOL[aquafarm],2ZnVuidTHpi5WWKUwFXauYGhvdT9jRKYv5MDahtbwtYr,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,AioST8HKQJRqjE1mknk4Rydc8wVADhdQwRJmAAYX1T6Z,So11111111111111111111111111111111111111112,73zdy95DynZP4exdpuXTDsexcrWbDJX9TFi2E6CDzXh4
ORCA/USDC[aquafarm],2p7nYbtPBgtmY69NsE8DAW6szpRJn7tQvDnqvoEWQvjY,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,9vYWHBPz817wJdQpE8u3h8UoY3sZ16ZXdCcvLB7jY4Dj,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6UczejMUv1tzdvUzKpULKHxrK9sqLm8edR1v9jinVWm9
KIN/SOL[aquafarm],Ez52BLSoZw3MxWxMK4ADsJXqzUiYW9sUnwcrrQwQGdLT,kinXdEcpDQeHPEuQnqmUgtYykqKGVFq6CeVX5iAHJq6,2Ssm5Dd1Zc5QpGSZzuqt3Ef4bADteuBbCGiEZJ5n48rV,So11111111111111111111111111111111111111112,HCS9EpKRxWDS9GCRFStNbPWgRQpvV6EyBWChJja2UbCm
SAMO/SOL[aquafarm],DiAP9qmp5foN7fLTWfBWjo9KBS1jgvKUJLWi1ZhqKaja,7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,AFcbD7UTzk9d1njRxyDHNbQ5Q6miPNAE1GctjD96JYAi,So11111111111111111111111111111111111111112,6kYbPDsYLQUwptV7ZvQKG3gjNreEEgaWh2CM4DQPYTpq
LIQ/USDC[aquafarm],AXSeEafwPUGSamiZWH8m2PJtvpDVtrofxvycNwxiysdh,4wjPQJ6PrkC4dHhYghwJzGBVP78DkBzA2U3kHoFNBuhj,CVspL8Tj5YdqntXJegNeDXHiBn3648QDNB7gex6D9MgY,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,8YzLsZ1FtsruswkBogEaXwmRTf5PMuyVcfSZXRAdi8qA
SNY/USDC[aquafarm],BDn3Fj9UXVi2mRVMR2jzpCrAZZphnwfkvFhs192yhCTu,4dmKkXNHdgYsXqBHCuMikNQWwVomZURhYvkkX5c4pQ7y,14RHMRzwx9Y4Z41qpr9sTwJZ58wXqV1R9WTkUA7ybmKG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Dw9D9T4bBC3oGdMqxE1xWfPSCJ27SYwWD8rFfUxU99QG
mSOL/USDC[aquafarm],Hme4Jnqhdz2jAPUMnS7jGE5zv6Y1ynqrUEhmUAWkXmzn,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,GBa7G5f1FqAXEgByuHXsqsEdpyMjRgT9SNxZwmmnEJAY,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,7hFgNawzzmpDM8TTVCKm8jykBrym8C3TQdb8TDAfAVkD
SLRS/USDC[aquafarm],87Xz6RK1uzP5NEhSjMewZtDAZyg4V1tYAa1KHnvge17b,SLRSSpSLUTP7okbCUBYStWCo1vUgyt775faPqz8HUMr,CM7oGYHy1oxzHoum8Cxv4pwnndm6Jbs3NkBZkc6v9S9d,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3QqPbMcUMZu3Rz762g7JgvpUxhRHPtE9HFk2MSDRmPqa
PORT/USDC[aquafarm],4if9Gy7dvjU7XwunKxdnCcPsaT3yAHPXdz2XS1eo19LG,PoRTjZMPXb9T7dyU7tpLEZRQj7e6ssfAE62j2oQuc6y,2wuSqR5z2Guft2yt57Hx7K6i1AYNoUi8fjxHUeAgaKXo,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,AvP1Db3SyUxLGMSc4nSXjJkjm1kAjiLjog7cup19eWa3
SBR/USDC[aquafarm],HiYggjP2fN53Jw46e5UuskqNP3HH98jceRxEgVoeRwNw,Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1,DrJTQqNZqNCf2HDLpYg9zRCMRwnhZEVQuGjeaWtX6CA7,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,DEVLUv1uiUSukQoBdy9fDQyehi4N2Boojy8J2LQ8bK2E
scnSOL/USDC[aquafarm],6Gh36sNXrGWYiWr999d9iZtqgnipJbWuBohyHBN1cJpS,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,7xs9QsrxQDVoWQ8LQ8VsVjfPKBrPGjvg8ZhaLnU1i2VR,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,FZFJK64Fk1t619zmVPqCx8Uy29zJ3WuvjWitCQuxXRo3
scnSOL/USDC[aquafarm],6Gh36sNXrGWYiWr999d9iZtqgnipJbWuBohyHBN1cJpS,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,7xs9QsrxQDVoWQ8LQ8VsVjfPKBrPGjvg8ZhaLnU1i2VR,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,FZFJK64Fk1t619zmVPqCx8Uy29zJ3WuvjWitCQuxXRo3
pSOL/USDC[aquafarm],GW1Xt9HHtvcnky8X7aBA3BoTgiirJKP5XwC5REFcZSsc,9EaLkQrbjmbbuZG9Wdpo8qfNUEjHATJFSycEmw6f1rGX,F7XioZaGe99nosYJQCahx25TKgdUGufYf6sudm1JSgu,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,BT14DfFyNS7qcBGc8TY4HAzDev4vvqsoFBJgjtQpdM2Z
mSOL/SOL[stable][aquafarm],9EQMEzJdE2LDAY1hw1RytpufdwAXzatYfQ3M2UuT9b88,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,6xmki5RtGNHrfhTiHFfp9k3RQ9t8qgL1cYP2YCG2h179,So11111111111111111111111111111111111111112,Ew2coQtVGLeca31vqB2ssHntjzZgUy1ad9VuuAX8yw7p
ORCA/PAI[aquafarm],7LfLiCnoLPefaCVuh6z92TK2tPZUa9bPjW7gHT4jqrec,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,HSUFpGyNXEogXQLgEMQ7aMTxE4HZneRaBovbi9btXepM,Ea5SjE2Y6yvCeW5dYTn7PYMuW5ikXkvbGdcmSnXeaLjS,4c9rkBiqAY6fXpVvCbDwpDD44AGQ3MXSaCLcpmLUFtrX
ORCA/mSOL[aquafarm],49tTgthTYLMPEqozZNyEQifqkGYxHqqDie9YxVczS3iB,orcaEKTdK7LKz57vaAYr9QeNsVEPfiu6QeMU1kektZE,7hoYJc4aqttctANrNe75gscdmQD9HcXZED6AjdDdZMQ9,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,7MuvRUFT1wWiL7uJKdZqNwk9Fmz2HJ36bEArhDTnyFij
scnSOL/SOL[stable][aquafarm],2q6UMko5kTnv866W9MTeAFau94pLpsdeNjDdSYSgZUXr,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,C8DRXUqxXtUgvgBR7BPAmy6tnRJYgVjG27VU44wWDMNV,So11111111111111111111111111111111111111112,DzdxH5qJ68PiM1p5o6PbPLPpDj8m1ZshcaMFATcxDZix
scnSOL/SOL[stable][aquafarm],2q6UMko5kTnv866W9MTeAFau94pLpsdeNjDdSYSgZUXr,5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,C8DRXUqxXtUgvgBR7BPAmy6tnRJYgVjG27VU44wWDMNV,So11111111111111111111111111111111111111112,DzdxH5qJ68PiM1p5o6PbPLPpDj8m1ZshcaMFATcxDZix
ATLAS/USDC[aquafarm],3V5sjXj1mrWjjB1Xt6Xwp554QwHE5fppGSxbk4GzAtEW,ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,xotXsNCx4tBhnwhrajGTaVgKq1sfuMkeYHc77ZegCqE,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,8YswVYsTi66umBF2Bnkh4LB2VWMKPssDpe54VAgiuJZQ
POLIS/USDC[aquafarm],CdKPtCb5fBRaGFS4bJgytfReeHuFyhpe9YUyWHPnEWZG,poLisWXnNRwC6oBu1vHiuKQzFjGL4XDSu4g9qjz9qVk,EbXNEUiKxSU1vwwhrbVNVk3qX4o1yU3p75SQUUMfc1zH,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,CLCj9b1vdPutrkvZS8ACTM5q42SXB2Q7khnMLVxDMGEK
BOP/USDC[aquafarm],9pheQ8EX2wDKHZYm75G9haEbTyAcg8F2gFWybw2w6Vyc,BLwTnYKqf7u4qjgZrrsKeNs2EzWkMLqVCu6j8iHyrNA3,HkHjLSaP9yyWTzMGD1DKyoc1Dfvhvw4vakRhyjcVUCKs,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,CqRoKMF4kh2o568nFdDNHs7cszBjrkQME4RtCuTqcjCe
SAMO/USDC[aquafarm],Epvp7qMYAF21VVjacdB3VfKn6nnXQSF4rGYu8sD6Bkow,7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,7jwHW4Lw3nVaSJXskN5pUoKU6YB9RBVfZtGBp3VbR43U,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,G7Gqjxk9EaJMeFfoFTSy9WfH8uurgQkbNQCREWAc56DZ
NINJA/SOL[aquafarm],3ECUtPokme1nimJfuAkMtcm7QYjDEfXRQzmGC16LuYnz,FgX1WD9WzMU3yLwXaFSarPfkgzjLb2DZCqmkx9ExpuvJ,6Y9VyEYHgxVahiixzphNh4HAywpab9zVoD4S8q1sfuL8,So11111111111111111111111111111111111111112,9SxzphwrrDVDkwkyvmtag9NLgpjSkTw35cRwg9rLMYWk
SLIM/USDC[aquafarm],8JPid6GtND2tU3A7x7GDfPPEWwS36rMtzF7YoHU44UoA,xxxxa1sKNGwFtw2kFn8XauW9xq8hBZ5kVtcSesTT9fW,ErcxwkPgLdyoVL6j2SsekZ5iysPZEDRGfAggh282kQb8,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,EFYW6YEiCGpavuMPS1zoXhgfNkPisWkQ3bQz1b4UfKek
wHAPI/USDC[aquafarm],2Y1Jmpkf5wt1X5zcFHNBDoHxqjTXbMJfj1UFtrYQwUbG,6VNKqgz9hk7zRShTFdg5AnkfKwZUcojzwAkzxSH3bnUm,DRYADMQevoJHDFCYbDQeS4p551MpsDN2d7CJU3LxfNHa,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,HzsECCX6RZ2ccbR3FarRSEfc5rkuETfywXJnRZut5JzU
COPE/USDC[aquafarm],DhGTKyT6RVkpvPxXAJodi4Z41RSvQZxV1f5eRvJ5bE4r,8HGyAAB1yoM1ttS7pXjHMa3dukTFGQggnFFH3hJZgzQh,6N3P3etaUYGeBs2C67ZQTDRqHsExNsfj85dDWPwHtQBS,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,36VVz3eY8YmWBGskQVjvGGBfyUKHHCEDBgkFtzMpFqeU
SUNNY/USDC[aquafarm],3Ukqqshh3kZ8UPbcYYFSRaeJcsgttcmShtNNn12F1rj2,SUNNYWgPQmFxe9wTZzNK7iPnJ3vYDrkgnxJRJm1s3ag,F6nCAMYEFxsyRDVonQXLNufXgAHsgAa1Br8DhBoX3KAV,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,HWCTHmQppFSsKQEk1bHUqPC2WLaidgnfTG9MQGD4XKEt
GRAPE/USDC[aquafarm],6MxUhBLXHCqpdYaFPTmw1D9fQ7zYnm9grZyJvpGiqr15,8upjSpvjcdpuzhfR1zriwg5NXkwDruejqNE9WNbPRtyA,686KiYDMMkbredNoWx8yqvAdKSiHuWSG3dnbL6yWYmZp,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9i14ZKzaDmzKCAQb8hCv4h5GCo2Xiq83JcL7bofk4Ddj
ABR/USDC[aquafarm],rxwsjytcEBvXpXrXBL1rpsjhoh78imBn8WbxjKmLRge,a11bdAAuV8iB2fu7X6AxAvDTo1QZ8FXB3kk5eecdasp,6FRxhbY7bvSiDojPiqoidjTyDjxaUyCoPQk3ifEdfFbm,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,8aTapFecZRZmC2bTeKr2voHFW2twNvbrh8nWYdXYQWkZ
KURO/USDC[aquafarm],HdeYs4bpJKN2oTb7PHxbqq4kzKiLr772A5N2gWjY57ZT,2Kc38rfQ49DFaKHQaWbijkE7fcymUMLY5guUiUsDmFfn,DBckbD9CoRBFE8WdbbnFLDz6WdDDSZ7ReEeqdjL62fpG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,B252w7ZkUX4WyLUJKLEymEpRkYMqJhgv2PSj2Z2LWH34
MEDIA/USDC[aquafarm],5L2aVMnNsmrnkxU4B25ajb2pR5AJWBRfUa73wjasjyaB,ETAtLmCmsoiEEKfNrHKJ2kYy3MoABhU6NQvpSfij5tDs,BFAyLvCbMhgF7CQ9fsWWK46jD9mPXfBMDWvXgk5LTgsT,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,7CvBsWsfEif4sAo9dnsf1JKVAfBGcZUVTktqtxBSkgwB
TULIP/USDC[aquafarm],BNwrRN23RCoq5MAneJ6Cot7iN2FLtyt9rtcjaVfAXTLt,TuLipcqtGVXP9XR62wM8WWCm6a9vhLs7T1uoWBk6FDs,5CKd5M2nXdPM1TMXxqK6Up6GZehKL5uU9Z9Ytm2sFCiz,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,HjMQnuxjVRodoaAg9WcNXb9TAssDaFNpgwcUUKNjWdh5
MNGO/USDC[aquafarm],Hk9ZCvmqVT1FHNkWJMrtMkkVnH1WqssWPAvmio5Vs3se,MangoCzJ36AjZyKwVj3VnYU4GTonjfVEnJmvvWaxLac,J8bQnhcNyixFGBskQoJ2aSPXPWjvSzaaxF4YPs96XHDJ,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5yMoAhjfFaCPwEwKM2VeFFh2iBs5mHWLTJ4LuqZifsgN
stSOL/wstETH[aquafarm],B32UuhPSp6srSBbRTh4qZNjkegsehY9qXTwQgnPWYMZy,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,CeSEpgqc3zV8xDr7Q6PiwJju6a6e92wpAv7Kg6QyFfQB,ZScHuTtqZukUrtZS43teTKGs2VqkKL8k4QCouR2n6Uo,Fb3XpEJgghTURUGd1wphWr93ruX5egnesfdZtjWCxJFy
SYP/USDC[aquafarm],5DnwMqYAGEKekYXJdN8Bue6vN1p5zrEnBpmd53jEK61S,FnKE9n6aGjQoNWRBZXy4RW6LZVao7qwBonUbiD7edUmZ,6d19CQA1FP2MLLAzA7XoZEc9Agc32FaKUS175UVWLGtv,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,HpPnUHyo19VjmXbP6FbbKXu7WQCUEn6h7be76fZdHVmf
stSOL/wLDO[aquafarm],CqwyVxWeaiikQ3VhvEZSEmupmG1Wmc2FeaUjsCV492Sx,7dHbWXmci3dT8UFYWYZweBLXgycu7Y3iL6trKn1Y7ARj,GDprNAcXeR5GVGnCtkS5UqyPGMm2Sy5Lk15qqN36faMT,HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p,VCgdcsExfmxUDQwusLP2xqZ3ap7VuYyQMMHDPSva2hx
whETH/SOL[aquafarm],FcEro2uFpHcb7Z785CBs6q12KMJqUJKa8VTXPi4TTBMf,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,3uQytDKNd5H6XK8FhTei4wCUmj2eTbLTbiLAtWk2SmbA,So11111111111111111111111111111111111111112,GR3g8Wej3jmv92hYM1t22kaXog2xjkGjQ7V1XzLd1efT
whETH/USDC[aquafarm],4reGGLbesqpAeAZdAJv9hhgA2tgj45oGcyRuEvhATdMm,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,9KpjcpKwhoFPbixvKDfcAhBQcVXk1CSBTGsJdzojDPRv,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5HaG31FQS4McBVcHxVfwaKaWXE3VCGqvJ1ZDkTxs94cQ
MNDE/mSOL[aquafarm],vjHagYsgZwG9icyFLHu2xWHWdtiS5gfeNzRhDcPt5xq,MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,2LferrWvYWtHFfdkmixzt9g3aKa3yBNfgbRrP1CcWMMp,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,GimsuZjYqMXM6xK6S3e9JpGvX6jaMPuNeR6s2piDESmy
WAG/USDC[aquafarm],B76e3wtCDTKBgKQjvx87EBkDLPGcCY9w1SGiwjD5kaK7,5tN42n9vMi6ubp67Uy4NnmM5DMZYN8aS8GeB3bEDHr6E,8voSogytL9jLgE73GS3WuujBinKFRQJjvUFsVGYexWZd,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,HEP7mACuN13cT95eDAYTNjgwriqJnMQVhnyRctqnBRe4
mSOL/USDT[aquafarm],Afofkb7JTc32rdpqiyc3RDmGF5s9N6W1ujcdYVfGZ5Je,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,RTXKRxghfWJpE344UG7UhKnCwN2Gyv6KnNSTFDnaASF,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,J15KntYr6iout4ce2kcD2QEdkVbLN4EHHFLfCtke3f6Y
mSOL/whETH[aquafarm],A71DQffTzgxBSzXjPL3tmf8XXTNtS5mR2D78Y8rmV2hk,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,Fcp5u8bL3V24MXjA4noSfMpcEAP2vSj1WTaA1ZNxACZL,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,DuBCBX3y2FjDWUn2ncK5EKQh229JiJ7HTCjYJhNC87K8
BTC/mSOL[aquafarm],8DRw5wQE1pyg6RB1UwypGNFgb2Pzp2hpyDDNwo76Lcc8,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,6D3sxC6yEe84FUnF5Kpbgx6gN57N9poJCKAtrCeCWdJo,mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,EPoVJLhi9QtVPVo8n31M5k5Knvb48j8zbYyRrUbrHwC5
IVN/SOL[aquafarm],CFCivUWXBuULVNfJezj1fAhX6hdwVFi2BsCtpu6m96bR,iVNcrNE9BRZBC9Aqf753iZiZfbszeAVUoikgT9yvr2a,C5yDeB3jBz5yZPa6FgP6b7HNoFxLP63Pyzpaosnkikis,So11111111111111111111111111111111111111112,CCm846T6xj9VAhSAifuUJAXYCR3kaGp5KqhXFHCaeWUh
LARIX/USDC[aquafarm],DaNULZAv2VyLk75pW3QD5szVzx5dT6iNvoih94Bttqf5,Lrxqnh6ZHKbGy3dcrCED43nsoLkM1LTzU2jRfWe8qUC,AAjjSJsZM3AKK4h9cbGTHkquEZ2fWjgo9A9Pmrj2ynTH,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,82Fs8dSpMxPPfN1ULsXGFREHWz3JizREpTxwz2MaZ1n1
PRT/USDC[aquafarm],CRm5uRBsVmUVHVqKfCCvCUX1RLUkjfcBWAeMQ5D9VuCM,PRT88RkA4Kg5z7pKnezeNH4mafTvtQdfFgpQTGRjz44,3oL2GjsUnQLjHw77p78CsRr7t94AVrtsCnW5uf6NYQ3g,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2EiVwvsH5cvyk4W243zKoywkaEQb9Bwe9WGphRgBSqaP
JET/USDC[aquafarm],ErWwp9HKjk5ZPLDt8SrHKH5PvSKTwFDdFo5E3zDuE5Be,JET6zMJWkCN9tpRT2v2jfAmm5VnQFDpUBCyaKojmGtz,GEtZSc8188t2cCAv21UGCyjvxCeyU5Co99GtRtyTkpdh,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Bi95f8H7o7zHWuYysxDHEubPv4c3NhsHWhaesXJu91NC
