name,name2,account,mint_account,liquidity,price,apy_24h,apy_7d,apy_30d,volume_24h,volume_24h_quote,volume_7d,volume_7d_quote,volume_30d,volume_30d_quote
SUNNY/USDC[aquafarm],SUNNY/USDC,3Ukqqshh3kZ8UPbcYYFSRaeJcsgttcmShtNNn12F1rj2,GHuoeq9UnFBsBhMwH43eL3RWX5XVXbSRYJymmyMYpT7n,245176.61927055824,0.0018611259243547403,0.0895639545859738,0.16435911898060915,0.18798382823345655,25726.928393444632,25740.28760271044,370232.1641041148,370424.41437517555,2024040.2480695301,2025091.270438888
GRAPE/USDC[aquafarm],GRAPE/USDC,6MxUhBLXHCqpdYaFPTmw1D9fQ7zYnm9grZyJvpGiqr15,EorFh8siFyLF1QTZ7cCXQaPGqyo7eb4SAgKtRH8Jcxjd,41872.185815365556,0.012827327226941078,0.027788045283059847,0.02331325281329951,0.01983975643685475,187.1027568898389,187.19991364502067,9126.373723831957,9131.112771360295,35845.286550887424,35863.89991494328
ABR/USDC[aquafarm],ABR/USDC,rxwsjytcEBvXpXrXBL1rpsjhoh78imBn8WbxjKmLRge,GMzPbaCuQmeMUm1opH3oSCgKUjVgJUW14myq99RVPGX5,1759859.4062499527,2.0510645024767853,0.010130788066642464,0.020814117677400247,0.022262529429292136,24678.498411790562,24691.3132033431,300374.2848515191,300530.26005648845,1332513.4964641323,1333205.4300823451
KURO/USDC[aquafarm],KURO/USDC,HdeYs4bpJKN2oTb7PHxbqq4kzKiLr772A5N2gWjY57ZT,DRknxb4ZFxXUTG6UJ5HupNHG1SmvBSCPzsZ1o9gAhyBi,116994.02068220878,0.012573975893488722,0.0006496872408178893,0.001238252607134864,0.00560081579780074,136.4016931442308,136.47252238334775,1514.3194092988408,1515.1057491826666,31780.480203291616,31796.98283738422
MEDIA/USDC[aquafarm],MEDIA/USDC,5L2aVMnNsmrnkxU4B25ajb2pR5AJWBRfUa73wjasjyaB,2toFgkQDoPrTJYGDEVoCasPXuL9uQnjvXJaDwa9LHyTx,202579.56132607683,33.527400720974185,3.1778312752154395e-05,0.00042988626331290293,0.005611768118188869,7.055384860675302,7.059048506850358,762.9890463621172,763.3852433033917,50492.48448573622,50518.70369295286
TULIP/USDC[aquafarm],TULIP/USDC,BNwrRN23RCoq5MAneJ6Cot7iN2FLtyt9rtcjaVfAXTLt,4SBx8GXu8HhcVHWydQv1vsDdZs3G93XSL9CtMBny6hS5,133710.85249663307,11.666054682380157,0.05585099950750205,0.021781948186985558,0.02940623270339641,7986.8762471273,7991.023588369664,23510.86314354646,23523.071617716054,159979.9895281581,160063.06225746972
MNGO/USDC[aquafarm],MNGO/USDC,Hk9ZCvmqVT1FHNkWJMrtMkkVnH1WqssWPAvmio5Vs3se,H9yC7jDng974WwcU4kTGs7BKf7nBNswpdsP5bzbdXjib,207346.1057147338,0.1381937225419993,0.015979750501083093,0.018628712704497154,0.04093243247854779,3893.429660869161,3895.451400145837,31361.893979200584,31378.17925423353,327005.645748475,327175.4498069248
stSOL/wstETH[aquafarm],stSOL/wstETH,B32UuhPSp6srSBbRTh4qZNjkegsehY9qXTwQgnPWYMZy,Eswigpwm3xsipkTqahGi2PEJsJcULQBwZgxhQpr6yBEa,1937447.985594136,0.03511732262962299,0.03576446110446677,0.013731838634822796,0.017277562033194502,90281.35877593739,30.52902844078323,240542.1301348331,81.34035233472983,1402249.3160100458,474.17661663450116
SYP/USDC[aquafarm],SYP/USDC,5DnwMqYAGEKekYXJdN8Bue6vN1p5zrEnBpmd53jEK61S,qJxKN9BhxbYvRNbjfK2uAVWboto6sonj8XC1ZEW5XTB,74331.87334293552,0.012711277152842326,0.027040122537855066,0.016677429854287502,0.01792724019892354,2239.058801076756,2240.221476022812,10160.772078323456,10166.048257369031,55400.520796539786,55429.2885973218
stSOL/wLDO[aquafarm],stSOL/wLDO,CqwyVxWeaiikQ3VhvEZSEmupmG1Wmc2FeaUjsCV492Sx,74B9aMS7SA832xKngt5VLKmWAP3pa3qkUzWncTmQSsGF,350460.32980392023,38.18014705882352,0.13281212896385816,0.16496974681347917,0.2342499012570095,60781.53939641695,22346.15418985917,539856.7521337159,198476.74710798377,3718546.81661594,1367112.8002264486
whETH/SOL[aquafarm],whETH/SOL,FcEro2uFpHcb7Z785CBs6q12KMJqUJKa8VTXPi4TTBMf,7aYnrdmdCRodDy2Czn6keUquUhjF1jPEmfwZPh488z8U,1616180.9788178857,29.449920350457983,0.021099994714932273,0.03685708950806231,0.05225437641458092,37381.42223245513,372.17664508617213,601206.4442379823,5985.727242512767,3249876.3460272816,32356.39532086103
whETH/USDC[aquafarm],whETH/USDC,4reGGLbesqpAeAZdAJv9hhgA2tgj45oGcyRuEvhATdMm,7NPtjjAP7vhp4t5NCLyY4DY5rurvyc8cgZ2a2rYabRia,7455704.939848307,2959.485973220101,0.03289973600900218,0.04699549281818637,0.04163759492639182,280062.717855191,280208.14588290424,3029119.6229426158,3030692.5523773,13328740.070725322,13335661.278929086
